Date,Service,ServiceProvider,Sales
2024-03-09,Gardening,Provider D,341.22
2024-10-18,Plumbing,Provider E,152.12
2024-02-02,Cleaning,Provider B,292.83
2024-05-10,Gardening,Provider B,232.0
2024-03-01,Electrician,Provider E,208.97
2024-09-10,Electrician,Provider E,324.03
2024-08-18,Cleaning,Provider D,402.64
2024-08-29,Gardening,Provider B,283.41
2024-11-29,Gardening,Provider B,241.74
2024-07-13,Cleaning,Provider D,441.5
2024-04-17,Gardening,Provider E,139.93
2024-02-18,Gardening,Provider D,268.22
2024-09-06,Electrician,Provider D,205.74
2024-01-15,Gardening,Provider E,330.57
2024-07-18,Gardening,Provider C,256.17
2024-08-09,Cleaning,Provider B,335.92
2024-11-07,Gardening,Provider E,131.35
2024-01-02,Cleaning,Provider E,408.69
2024-12-22,Electrician,Provider A,428.79
2024-08-16,Cleaning,Provider A,440.64
2024-05-16,Carpentry,Provider A,389.37
2024-04-27,Electrician,Provider B,170.89
2024-10-29,Gardening,Provider B,204.99
2024-02-22,Cleaning,Provider B,121.83
2024-06-11,Gardening,Provider B,345.5
2024-01-16,Electrician,Provider D,366.18
2024-01-12,Carpentry,Provider D,101.39
2024-01-14,Electrician,Provider D,204.5
2024-11-28,Plumbing,Provider C,98.94
2024-10-04,Gardening,Provider B,484.5
2024-01-05,Carpentry,Provider A,151.42
2024-07-14,Carpentry,Provider B,65.9
2024-12-17,Plumbing,Provider D,367.07
2024-04-20,Carpentry,Provider E,424.51
2024-08-04,Gardening,Provider D,150.44
2024-01-15,Cleaning,Provider D,353.71
2024-09-27,Electrician,Provider D,76.45
2024-04-23,Electrician,Provider B,485.56
2024-08-12,Cleaning,Provider C,81.83
2024-09-10,Cleaning,Provider C,462.73
2024-10-10,Electrician,Provider B,237.28
2024-04-29,Electrician,Provider B,53.82
2024-06-25,Cleaning,Provider E,418.74
2024-04-28,Gardening,Provider D,127.18
2024-12-12,Gardening,Provider E,66.84
2024-04-22,Plumbing,Provider C,94.56
2024-08-23,Gardening,Provider D,316.13
2024-05-28,Carpentry,Provider A,472.08
2024-01-12,Carpentry,Provider C,276.85
2024-08-01,Cleaning,Provider C,325.46
2024-10-11,Carpentry,Provider C,58.14
2024-11-24,Plumbing,Provider C,415.01
2024-02-21,Gardening,Provider B,202.59
2024-04-05,Plumbing,Provider C,353.5
2024-11-18,Carpentry,Provider E,204.73
2024-05-31,Gardening,Provider D,395.58
2024-03-02,Gardening,Provider B,79.4
2024-06-19,Cleaning,Provider A,109.86
2024-12-30,Plumbing,Provider E,145.84
2024-09-13,Electrician,Provider E,277.65
2024-08-04,Electrician,Provider C,202.48
2024-09-16,Cleaning,Provider C,155.84
2024-12-09,Gardening,Provider D,110.91
2024-04-07,Gardening,Provider A,194.33
2024-06-04,Carpentry,Provider A,221.1
2024-05-25,Plumbing,Provider B,203.4
2024-10-27,Gardening,Provider E,401.86
2024-09-12,Carpentry,Provider A,306.85
2024-09-15,Plumbing,Provider E,86.78
2024-07-20,Electrician,Provider C,450.85
2024-10-28,Gardening,Provider E,466.28
2024-01-18,Carpentry,Provider C,98.48
2024-09-02,Cleaning,Provider C,55.57
2024-05-04,Cleaning,Provider A,236.09
2024-07-25,Cleaning,Provider B,157.84
2024-07-31,Gardening,Provider D,122.91
2024-12-06,Carpentry,Provider B,356.4
2024-03-29,Plumbing,Provider A,245.8
2024-07-06,Carpentry,Provider E,459.15
2024-10-07,Electrician,Provider E,164.03
2024-12-25,Carpentry,Provider C,95.06
2024-12-11,Electrician,Provider A,62.27
2024-07-10,Electrician,Provider E,194.11
2024-02-14,Carpentry,Provider C,229.35
2024-08-12,Cleaning,Provider C,486.42
2024-12-05,Carpentry,Provider A,162.53
2024-09-17,Gardening,Provider E,440.43
2024-02-25,Carpentry,Provider C,166.59
2024-03-24,Gardening,Provider B,188.29
2024-09-23,Plumbing,Provider C,86.62
2024-07-20,Electrician,Provider A,492.52
2024-07-08,Carpentry,Provider A,343.4
2024-09-07,Electrician,Provider B,225.72
2024-01-16,Electrician,Provider A,197.26
2024-08-28,Electrician,Provider E,452.08
2024-01-23,Electrician,Provider B,200.45
2024-06-06,Gardening,Provider E,310.54
2024-12-26,Gardening,Provider A,160.29
2024-11-10,Cleaning,Provider B,230.8
2024-10-30,Electrician,Provider E,440.4
